S.No,Description,Units,No's,L,W,Qty
,Entrance,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
,,,,,,
,Modular Glass Work,,,,,
1.1,Glass Partition,,,,,
,Reception Arae,Sqfts,1,7,7,49
,11 Pax Conference Room-1,Sqfts,1,10,7,70
,,Sqfts,1,22.25,7,156
,Linear Work Station,Sqfts,2,3.5,7,49
,11 Pax Conference Room-2,Sqfts,1,15.75,7,110
,8 Pax Conference Room,Sqfts,1,14.5,7,102
,6 Pax Conference Room-1,Sqfts,1,5.5,7,39
,Executive Cabin,Sqfts,1,5.75,7,40
,6 Pax Conference Room-2,Sqfts,1,5.5,7,39
,,,,,,
,TOTAL,,,,,653
1.2,Glass Film,,,,,
,Reception Arae,Sqfts,1,7,5,35
,11 Pax Conference Room-1,Sqfts,1,10,5,50
,,Sqfts,1,22.25,5,111
,Linear Work Station,Sqfts,2,3.5,5,35
,11 Pax Conference Room-2,Sqfts,1,15.75,5,79
,8 Pax Conference Room,Sqfts,1,14.5,5,73
,6 Pax Conference Room-1,Sqfts,1,5.5,5,28
,Executive Cabin,Sqfts,1,5.75,5,29
,6 Pax Conference Room-2,Sqfts,1,5.5,5,28
,,,,,,
,TOTAL,,,,,466
1.3,Glass Door-Single Leaf,,,,,
,11 Pax Conference Room-1,No's,1,1,,1
,11 Pax Conference Room-2,No's,1,1,,1
,8 Pax Conference Room,No's,1,1,,1
,6 Pax Conference Room-1,No's,1,1,,1
,Executive Cabin,No's,1,1,,1
,6 Pax Conference Room-2,No's,1,1,,1
,Linear Work Station,No's,2,1,,2
,,,,,,
,TOTAL,,,,,8
1.4,Glass Door-Double Leaf-2700x2100mm,,,,,
,Main Door,No's,1,1,,1
,,,,,,
,TOTAL,,,,,1
,Glass Door-Double Leaf-1800x2100mm,,,,,
,Reception Area,No's,1,1,,1
,,,,,,
,TOTAL,,,,,1
,,,,,,
,Interior Works,,,,,
1,False Ceiling,,,,,
1.1,Gypsum Ceiling,,,,,
,Reception Area,Sqfts,1,22,12.5,275
,11 Pax Conference Room-1,Sqfts,1,22,12.5,275
,Linear Work Station,Sqfts,1,18.75,53.75,1008
,,Sqfts,1,6.5,17.25,112
,Training Room,Sqfts,1,32.5,26,845
,,Sqfts,1,26,25.75,670
,Travel Desk/Visiting Dir,Sqfts,2,11.25,4,90
,,Sqfts,2,22.25,4,178
,Interview Rooms,Sqfts,2,11.25,4,90
,,Sqfts,2,18.25,4,146
,Cabins,Sqfts,3,11.25,4,135
,,Sqfts,2,26.25,4,210
,Utility Beside Room,Sqfts,1,9.5,4,38
,8Pax Conference Room,Sqfts,1,10.75,4,43
,Conference Room,Sqfts,1,27.5,4,110
,,Sqfts,1,13,4,52
,,,,,,
,TOTAL,,,,,4276
,TOTAL,,,,,4918
,,,,,,
2,Internal Partitions,,,,,
2.1,Gypsum Partition,,,,,
,Reception Arae,Sqfts,1,13,3,39
,,Sqfts,1,9,3,27
,11 Pax Conference Room-1,Sqfts,1,12.75,3,38
,,Sqfts,1,22.25,3,67
,Corridor,Sqfts,2,6.5,3,39
,11 Pax Conference Room-2,Sqfts,1,19.25,3,58
,8 Pax Conference Room,Sqfts,1,18,3,54
,6 Pax Conference Room-1,Sqfts,1,10,3,30
,Executive Cabin,Sqfts,1,8.75,3,26
,,Sqfts,1,1,10,10
,6 Pax Conference Room-2,Sqfts,1,8.5,3,26
,Lounge,Sqfts,1,10.75,10,108
,Pantry,Sqfts,1,18.25,10,183
,Linear work Station,Sqfts,1,6.5,10,65
,,Sqfts,1,17.25,10,173
,,Sqfts,1,19,10,190
,,,,,,
,TOTAL,,,,,1131
,TOTAL,,,,,1301
2.2,Wooden Ply Paneling,,,,,
,Reception Area,No's,1,10,5,50
,11 Pax Conference Room-1,No's,1,8,5,40
,8 Pax Conference Room,No's,1,6,5,30
,6 Pax Conference Room-1,No's,1,6,5,30
,Training Room,No's,1,15,5,75
,,,,,,
,TOTAL,,,,,225
,,,,,,
3,Doors,,,,,
3.1,Flush Door - 900x2100mm,,,,,
,Training Room,No's,1,1,,1
,Pantry,No's,1,1,,1
,,,,,,
,TOTAL,,,,,2
,,,,,,
4,Flooring,,,,,
4.1,Carpet,,,,,
,Reception Area,Sqfts,,22,12.5,0
,11 Pax Conference Room-1,Sqfts,1,22,12.5,275
,Linear Work Station,Sqfts,1,18.75,53.75,1008
,,Sqfts,1,6.5,17.25,112
,Training Room,Sqfts,1,32.5,26,845
,,Sqfts,1,26,25.75,670
,11 Pax Conference Room-2,Sqfts,1,20.25,10.75,218
,8 Pax Conference Room,Sqfts,1,15.75,10.75,169
,6 Pax Conference Room-1,Sqfts,1,19.25,8.75,168
,Executive Cabin,Sqfts,1,11,9.25,102
,6 Pax Conference Room-2,Sqfts,1,8.75,13.25,116
,Pantry,Sqfts,1,16.25,16.25,264
,Corridor-1,Sqfts,1,22.25,6.25,139
,Corridor-2,Sqfts,1,19.25,5,96
,,,,,,
,TOTAL,,,,,4182
4.2,Skirting,,,,,
,Reception Arae,Rft,1,6.5,,7
,,Rft,1,22,,22
,,Rft,1,12.5,,13
,11 Pax Conference Room-1,Rft,1,22,,22
,,Rft,1,12.5,,13
,Linear Work station,Rft,2,3.5,,7
,,Rft,2,17.25,,35
,,Rft,1,13,,13
,,Rft,1,53.75,,54
,,Rft,1,19,,19
,Training Room,Rft,2,26,,52
,,Rft,2,56,,112
,11 Pax Conference Room-2,Rft,2,10.75,,22
,,Rft,1,17,,17
,8 Pax Conference Room,Sqfts,2,10.75,,22
,,Sqfts,1,17.75,,18
,6 Pax Conference Room-1,Sqfts,1,19.25,,19
,,Sqfts,2,8.75,,18
,4 Pax Conference Room,Sqfts,2,11,,22
,,Sqfts,1,9,,9
,6 Pax Conference Room-2,Sqfts,1,13.25,,13
,,Sqfts,1,8.75,,9
,,,,,,
,TOTAL,,,,,534
,,,,,,
5,Paint,,,,,
,Gypsum Partition,,,,,
,Reception Arae,Sqfts,2,16.25,3,98
,,Sqfts,2,13,3,78
,,Sqfts,2,22,10,440
,11 Pax Conference Room-1,Sqfts,2,12.75,3,77
,,Sqfts,2,22.25,3,134
,Manager Cabin,Sqfts,2,8.75,3,53
,11 Pax Conference Room-2,Sqfts,2,19.25,3,116
,8 Pax Conference Room,Sqfts,2,18,3,108
,6 Pax Conference Room-1,Sqfts,2,10,3,60
,4 Pax Conference Room,Sqfts,2,8.75,3,53
,,Sqfts,2,1,10,20
,6 Pax Conference Room-2,Sqfts,2,8.5,3,51
,Lounge,Sqfts,2,10.75,10,215
,Pantry,Sqfts,2,18.25,10,365
,Linear work Station,Sqfts,2,6.5,10,130
,,Sqfts,2,17.25,10,345
,,Sqfts,2,19,10,380
,,,,,,
,TOTAL,,,,,2720
,Gypsum Ceiling,,,,,
,Reception Area,Sqfts,1,22,12.5,275
,11 Pax Conference Room-1,Sqfts,1,22,12.5,275
,Linear Work Station,Sqfts,1,18.75,53.75,1008
,,Sqfts,1,6.5,17.25,112
,Training Room,Sqfts,1,32.5,26,845
,,Sqfts,1,26,25.75,670
,11 Pax Conference Room-2,Sqfts,1,20.25,10.75,218
,8 Pax Conference Room,Sqfts,1,15.75,10.75,169
,6 Pax Conference Room-1,Sqfts,1,19.25,8.75,168
,4 Pax Conference Room,Sqfts,1,11,9.25,102
,6 Pax Conference Room-2,Sqfts,1,8.75,13.25,116
,Pantry,Sqfts,1,16.25,16.25,264
,,Sqfts,2,22.25,4,178
,Interview Rooms,Sqfts,2,11.25,4,90
,,Sqfts,2,18.25,4,146
,Cabins,Sqfts,3,11.25,4,135
,,Sqfts,2,26.25,4,210
,Utility Beside Room,Sqfts,1,9.5,4,38
,8Pax Conference Room,Sqfts,1,10.75,4,43
,Conference Room,Sqfts,1,27.5,4,110
,,Sqfts,1,13,4,52
,,,,,,
,TOTAL,,,,,5224
,,,,,,
,TOTAL PAINT QUANTITY,,,,,9532
,,,,,,
6,Modular Furniture,,,,,
6.1,Reception Table,,,,,
,Reception Area,Sqfts,1,6,4,24
,,,,,,
,TOTAL,,,,,24
6.2,Conference Table-11 Pax,,,,,
,11 Pax Conference Room-1,Sqfts,1,1,1,1
,11 Pax Conference Room-2,Sqfts,,1,1,0
,,,,,,
,TOTAL,,,,,1
6.3,Conference Table-8 Pax,,,,,
,8 Pax Conference Room,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
6.4,Conference Table-6 Pax,,,,,
,6 Pax Conference Room-1,Sqfts,1,1,1,1
,6 Pax Conference Room-2,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,2
6.5,Manager Cabin table,,,,,
,Executive Cabin,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
6.6,Worrk station-Sharing,,,,,
,Linear Work Station,Sqfts,38,1,1,38
,New Work Station Arae,Sqfts,78,1,1,78
,,,,,,
,TOTAL,,,,,116
6.7,Worrk station- Non Sharing,,,,,
,Linear Work Station,Sqfts,3,1,1,3
,New Work Station Arae,Sqfts,15,1,1,15
,Work Station Arae,Sqfts,6,1,1,6
,,,,,,
,TOTAL,,,,,24
6.8,Work station-Sharing,,,,,
,Training Room,Sqfts,39,1,1,39
,,,,,,
,TOTAL,,,,,39
6.9,Round Table,,,,,
,Training Room,Sqfts,1,1,1,1
,Pantry,Sqfts,2,1,1,2
,,,,,,
,TOTAL,,,,,3
6.1,Speakers Podium,,,,,
,Training Room,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
,,,,,,
7,Loose Furniture,,,,,
7.1,Chairs,,,,,
,Reception Area,Sqfts,1,1,1,1
,11 Pax Conference Room-1,Sqfts,11,1,1,11
,11 Pax Conference Room-2,Sqfts,11,1,1,11
,8 Pax Conference Room,Sqfts,8,1,1,8
,6 Pax Conference Room-1,Sqfts,6,1,1,6
,6 Pax Conference Room-2,Sqfts,6,1,1,6
,Discussion Room,Sqfts,3,1,1,3
,Work Station,Sqfts,356,1,1,356
,Training Room,Sqfts,39,1,1,39
,Cubicle,Sqfts,43,1,1,43
,,,,,,
,TOTAL,,,,,441
7.2,Pantry Chairs,,,,,
,Pantry,Sqfts,8,1,1,8
,Training Room,Sqfts,4,1,1,4
,,,,,,
,TOTAL,,,,,12
,,,,,,
8.1,Wall Paneling,,,,,
,Reception Area,Sqfts,1,22,9,198
,,,,,,
,TOTAL,,,,,198
8.2,Laminate Work,,,,,
,Linear Work Station Area,Sqfts,1,4,8.25,33
,,Sqfts,1,51.5,8.25,425
,Linear Work Station Area-Corridor,Sqfts,1,6,8.25,50
,,,,,,
,TOTAL,,,,,507
8.3,Acoustic Panels,,,,,
,Training Room,Sqfts,1,33,9,297
,,Sqfts,1,46.75,9,421
,,,,,,
,TOTAL,,,,,718
,,,,,,
,,,,,,
9,Ply Deck,,,,,
,Linear Work Station Area,Sqfts,1,38.25,1,38
,Fire Exit Beside,Sqfts,1,15,3,45
,,,,,,
,TOTAL,,,,,83
10,Logo,,,,,
,Training Room,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
11,Wall Paper,,,,,
,11 Pax Conference Room-1,Sqfts,1,22,9,198
,11 Pax Conference Room-2,Sqfts,1,20,9,180
,Lounge,Sqfts,1,12,9,108
,,,,,,
,TOTAL,,,,,486
12,Lacquered Glass,,,,,
,Full Office,Sqfts,6,6,4,144
,,,,,,
,TOTAL,,,,,144
13,Blinds,,,,,
,Training Room,Sqfts,1,46,6,276
,,,,,,
,TOTAL,,,,,276
14,Storage Shutter Work,,,,,
,Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
15,Electrical,,,,,
,Full Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
16,HVAC,,,,,
,Full Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
17,"FA, PA, RRS, WLDS",,,,,
,Full Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
18,Sprinkler,,,,,
,Full Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
19,AV System,,,,,
,Training Room,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
20,Deep Cleaing,,,,,
,Full Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
21,House Keeping,,,,,
,Full Office,Sqfts,1,1,1,1
,,,,,,
,TOTAL,,,,,1
22,Floor Protection,,,,,
,Full Office,Sqfts,1,18500,1,18500
,,,,,,
,TOTAL,,,,,18500
